1.840143837034702301e-02,-1.030965335667133331e-02,4.611751735210418701e-01,-4.969191271811723709e-03,6.111073493957519531e-02,8.077070713043212891e-01,5.863872766494750977e-01,1.097332015633583069e-01,2.318833321332931519e-01,6.192513704299926758e-01,1.934731304645538330e-01,5.661326646804809570e-02,-8.129499107599258423e-02,-3.428074344992637634e-02,-3.525133430957794189e-01,-7.796791791915893555e-01,7.637614011764526367e-02,-8.198878727853298187e-03,1.189136132597923279e-01,5.555403232574462891e-02,5.229802057147026062e-02,1.038871631026268005e-01,1.108454093337059021e-01,6.802765130996704102e-01,-4.858725965023040771e-01,4.961326420307159424e-01,1.577520221471786499e-01,-9.629689902067184448e-02,-1.578439623117446899e-01,-1.873833388090133667e-01,-9.819683432579040527e-01,6.922215223312377930e-01,2.948022186756134033e-01,-4.201127886772155762e-01,-1.659577190876007080e-01,2.629521489143371582e-01
2.714969217777252197e-02,5.616677924990653992e-03,4.627037346363067627e-01,-1.465074135921895504e-03,5.775315687060356140e-02,8.103081583976745605e-01,5.831492543220520020e-01,7.131443172693252563e-02,2.442454248666763306e-01,5.581914186477661133e-01,2.581903636455535889e-01,6.568657606840133667e-02,-7.361148297786712646e-02,1.256179995834827423e-02,-3.202615380287170410e-01,-8.039765357971191406e-01,4.794500395655632019e-02,-3.459854423999786377e-02,1.196387335658073425e-01,1.790262758731842041e-02,1.226262822747230530e-01,1.069112941622734070e-01,6.713157892227172852e-02,5.763678550720214844e-01,-5.498556494712829590e-01,6.583036780357360840e-01,1.529284119606018066e-01,-1.438155323266983032e-01,-1.551842987537384033e-01,-1.903677433729171753e-01,-1.054479598999023438e+00,7.020825147628784180e-01,3.569149076938629150e-01,-4.258830845355987549e-01,-2.192317396402359009e-01,2.324637174606323242e-01
3.852018341422080994e-02,1.846075989305973053e-02,4.640744626522064209e-01,4.590795841068029404e-03,5.915498733520507812e-02,7.989855408668518066e-01,5.984160304069519043e-01,5.507695302367210388e-02,2.305866926908493042e-01,5.467448234558105469e-01,2.795083522796630859e-01,5.383740365505218506e-02,-5.815539881587028503e-02,2.527517825365066528e-02,-2.979801893234252930e-01,-7.759199142456054688e-01,3.751112520694732666e-02,-5.880612507462501526e-02,1.181323975324630737e-01,2.036766149103641510e-02,1.365548223257064819e-01,1.157756149768829346e-01,8.568876236677169800e-02,5.504782795906066895e-01,-5.544782280921936035e-01,7.281016707420349121e-01,1.658959239721298218e-01,-1.435932517051696777e-01,-1.635495573282241821e-01,-1.942771673202514648e-01,-1.086938381195068359e+00,6.866415143013000488e-01,3.804212510585784912e-01,-4.235712289810180664e-01,-2.252710014581680298e-01,2.275351732969284058e-01
5.014908313751220703e-02,2.789013646543025970e-02,4.654783904552459717e-01,1.197239290922880173e-02,5.858998000621795654e-02,7.822074294090270996e-01,6.201414465904235840e-01,3.515825048089027405e-02,2.081981599330902100e-01,5.244930982589721680e-01,2.889070212841033936e-01,4.308028519153594971e-02,-4.685359448194503784e-02,3.111798129975795746e-02,-2.772016823291778564e-01,-7.321541905403137207e-01,3.341569006443023682e-02,-7.356283068656921387e-02,1.172524318099021912e-01,2.822839096188545227e-02,1.455878913402557373e-01,1.331587433815002441e-01,1.129385456442832947e-01,5.321279764175415039e-01,-5.527616143226623535e-01,7.854205965995788574e-01,1.879579871892929077e-01,-1.418650746345520020e-01,-1.754160970449447632e-01,-1.987705379724502563e-01,-1.106189608573913574e+00,6.617758870124816895e-01,4.202296137809753418e-01,-4.251178801059722900e-01,-2.181290090084075928e-01,2.134791016578674316e-01
6.295649707317352295e-02,3.757303953170776367e-02,4.667113125324249268e-01,1.975226402282714844e-02,5.719123408198356628e-02,7.626506090164184570e-01,6.439743638038635254e-01,5.450137425214052200e-03,1.812840104103088379e-01,4.917083978652954102e-01,2.847572863101959229e-01,2.975675277411937714e-02,-3.826121985912322998e-02,3.875438123941421509e-02,-2.535961568355560303e-01,-6.772853732109069824e-01,2.797149308025836945e-02,-8.468342572450637817e-02,1.179480403661727905e-01,4.749282076954841614e-02,1.532593965530395508e-01,1.513333916664123535e-01,1.406507194042205811e-01,5.132074952125549316e-01,-5.419097542762756348e-01,8.335666060447692871e-01,2.088308483362197876e-01,-1.405950337648391724e-01,-1.780509203672409058e-01,-2.036985158920288086e-01,-1.110540151596069336e+00,6.264261603355407715e-01,4.856981337070465088e-01,-4.171153306961059570e-01,-2.020015567541122437e-01,1.868173182010650635e-01
7.760808616876602173e-02,5.141382291913032532e-02,4.676066935062408447e-01,2.542400732636451721e-02,5.552984774112701416e-02,7.399747967720031738e-01,6.698561906814575195e-01,-3.102912940084934235e-02,1.537628918886184692e-01,4.473383426666259766e-01,2.700444161891937256e-01,1.855750381946563721e-02,-2.772338315844535828e-02,5.098191648721694946e-02,-2.218719720840454102e-01,-6.135202646255493164e-01,1.814051531255245209e-02,-9.435972571372985840e-02,1.143407300114631653e-01,6.886377930641174316e-02,1.619236618280410767e-01,1.683661192655563354e-01,1.661578863859176636e-01,4.910295903682708740e-01,-5.337603688240051270e-01,8.834110498428344727e-01,2.329790890216827393e-01,-1.400348097085952759e-01,-1.727520078420639038e-01,-2.099213749170303345e-01,-1.088021993637084961e+00,5.772715210914611816e-01,5.769602656364440918e-01,-3.948864042758941650e-01,-1.768793910741806030e-01,1.451721191406250000e-01
8.986263722181320190e-02,5.997164174914360046e-02,4.679718315601348877e-01,3.020057268440723419e-02,5.213957652449607849e-02,7.175642251968383789e-01,6.938810944557189941e-01,-6.841374188661575317e-02,1.324733197689056396e-01,3.974660038948059082e-01,2.494351714849472046e-01,1.240443903952836990e-02,-1.779123768210411072e-02,6.138152256608009338e-02,-1.924910396337509155e-01,-5.517167448997497559e-01,7.432586047798395157e-03,-9.635723382234573364e-02,1.061024889349937439e-01,9.137061983346939087e-02,1.676200330257415771e-01,1.853275448083877563e-01,1.802345365285873413e-01,4.693841636180877686e-01,-5.318614840507507324e-01,9.306904077529907227e-01,2.607066035270690918e-01,-1.445643752813339233e-01,-1.609026193618774414e-01,-2.181455343961715698e-01,-1.037970662117004395e+00,5.157865285873413086e-01,6.916966438293457031e-01,-3.682598769664764404e-01,-1.491983979940414429e-01,7.932006567716598511e-02
1.037767007946968079e-01,7.062475383281707764e-02,4.678399264812469482e-01,3.285992145538330078e-02,4.910062626004219055e-02,6.948428153991699219e-01,7.167306542396545410e-01,-9.812553226947784424e-02,1.164012700319290161e-01,3.593300580978393555e-01,2.247099876403808594e-01,4.489290062338113785e-03,-6.301407236605882645e-03,7.373502850532531738e-02,-1.600579470396041870e-01,-4.905783236026763916e-01,-2.477785106748342514e-03,-9.815791249275207520e-02,9.663256257772445679e-02,1.055001541972160339e-01,1.694976240396499634e-01,2.001506835222244263e-01,1.868138313293457031e-01,4.441413581371307373e-01,-5.425385236740112305e-01,9.732925295829772949e-01,2.956537008285522461e-01,-1.474543511867523193e-01,-1.400709003210067749e-01,-2.358077168464660645e-01,-9.560538530349731445e-01,4.408841133117675781e-01,8.268904685974121094e-01,-3.376796245574951172e-01,-1.131953001022338867e-01,-6.948404479771852493e-03
1.121549159288406372e-01,7.653979957103729248e-02,4.670096933841705322e-01,3.572702780365943909e-02,4.425141960382461548e-02,6.755977272987365723e-01,7.350735664367675781e-01,-1.277432739734649658e-01,1.074167788028717041e-01,3.271902203559875488e-01,2.119130343198776245e-01,7.015810348093509674e-03,-5.191064439713954926e-03,8.735723793506622314e-02,-1.361238211393356323e-01,-4.363409876823425293e-01,-1.218935661017894745e-02,-1.012339219450950623e-01,8.898951113224029541e-02,1.271674036979675293e-01,1.638566851615905762e-01,2.169192135334014893e-01,1.801760643720626831e-01,4.308418631553649902e-01,-5.483976006507873535e-01,1.003113508224487305e+00,3.039030730724334717e-01,-1.489770859479904175e-01,-1.252699941396713257e-01,-2.507102191448211670e-01,-8.955849409103393555e-01,4.020878076553344727e-01,9.095259904861450195e-01,-3.080618977546691895e-01,-1.025172993540763855e-01,-6.335572898387908936e-02
1.216369718313217163e-01,8.650246262550354004e-02,4.654162228107452393e-01,3.535469993948936462e-02,3.789151459932327271e-02,6.521740555763244629e-01,7.562958002090454102e-01,-1.585761755704879761e-01,1.000877544283866882e-01,2.941660284996032715e-01,1.848669499158859253e-01,1.400146260857582092e-02,-4.071193281561136246e-03,1.021688804030418396e-01,-1.046390384435653687e-01,-3.744105994701385498e-01,-1.576293073594570160e-02,-1.083066314458847046e-01,7.750324904918670654e-02,1.322264820337295532e-01,1.631971448659896851e-01,2.334618121385574341e-01,1.693077534437179565e-01,4.020722806453704834e-01,-5.431706905364990234e-01,1.028156995773315430e+00,2.916669845581054688e-01,-1.498584300279617310e-01,-1.121834665536880493e-01,-2.663367390632629395e-01,-8.136254549026489258e-01,3.396676182746887207e-01,9.877551198005676270e-01,-2.525855600833892822e-01,-8.782800287008285522e-02,-1.298802495002746582e-01
